Year,Month,PAYNSA,PAYEMS
1992,1,106659,108312
1992,2,106906,108246
1992,3,107424,108298
1992,4,108259,108455
1992,5,109065,108581
1992,6,109554,108641
1992,7,108537,108711
1992,8,108591,108852
1992,9,109372,108887
1992,10,109958,109065
1992,11,110200,109204
1992,12,110188,109416
1993,1,108021,109726
1993,2,108624,109968
1993,3,109057,109917
1993,4,110060,110225
1993,5,111021,110490
1993,6,111611,110664
1993,7,110742,110959
1993,8,110847,111119
1993,9,111831,111358
1993,10,112493,111636
1993,11,112837,111897
1993,12,112980,112204
1994,1,110730,112474
1994,2,111308,112675
1994,3,112283,113137
1994,4,113364,113490
1994,5,114376,113823
1994,6,115170,114136
1994,7,114226,114500
1994,8,114535,114798
1994,9,115591,115153
1994,10,116217,115361
1994,11,116826,115783
1994,12,116861,116055
1995,1,114552,116377
1995,2,115212,116587
1995,3,115971,116810
1995,4,116802,116970
1995,5,117524,116954
1995,6,118242,117186
1995,7,117008,117265
1995,8,117269,117537
1995,9,118180,117781
1995,10,118780,117927
1995,11,119018,118076
1995,12,119015,118208
1996,1,116315,118187
1996,2,117252,118621
1996,3,118055,118885
1996,4,118890,119045
1996,5,120016,119368
1996,6,120681,119647
1996,7,119643,119879
1996,8,119932,120076
1996,9,120672,120295
1996,10,121384,120538
1996,11,121841,120834
1996,12,121815,121002
1997,1,119269,121233
1997,2,120126,121532
1997,3,121007,121845
1997,4,121979,122135
1997,5,123053,122391
1997,6,123700,122646
1997,7,122710,122927
1997,8,122772,122911
1997,9,123770,123418
1997,10,124673,123757
1997,11,125063,124057
1997,12,125195,124357
1998,1,122636,124630
1998,2,123405,124818
1998,3,124122,124962
1998,4,125160,125240
1998,5,126240,125639
1998,6,126903,125851
1998,7,125833,125969
1998,8,126069,126322
1998,9,126874,126541
1998,10,127650,126735
1998,11,128051,127015
1998,12,128215,127359
1999,1,125460,127486
1999,2,126445,127890
1999,3,127158,127996
1999,4,128305,128370
1999,5,129176,128584
1999,6,129906,128850
1999,7,129039,129140
1999,8,129093,129333
1999,9,129866,129537
1999,10,130802,129942
1999,11,131263,130235
1999,12,131402,130533
2000,1,128763,130781
2000,2,129427,130903
2000,3,130526,131374
2000,4,131525,131662
2000,5,132481,131886
2000,6,132998,131839
2000,7,131776,132004
2000,8,131786,132005
2000,9,132449,132130
2000,10,133007,132118
2000,11,133371,132345
2000,12,133309,132481
2001,1,130433,132466
2001,2,131097,132529
2001,3,131689,132501
2001,4,132094,132219
2001,5,132800,132175
2001,6,133179,132047
2001,7,131687,131922
2001,8,131614,131767
2001,9,131872,131524
2001,10,132072,131193
2001,11,131880,130898
2001,12,131491,130720
2002,1,128602,130591
2002,2,129069,130445
2002,3,129673,130421
2002,4,130257,130337
2002,5,131024,130328
2002,6,131404,130375
2002,7,129960,130275
2002,8,130044,130264
2002,9,130557,130209
2002,10,131227,130330
2002,11,131345,130338
2002,12,130933,130175
2003,1,128248,130270
2003,2,128660,130111
2003,3,129148,129898
2003,4,129801,129849
2003,5,130559,129840
2003,6,130889,129840
2003,7,129550,129865
2003,8,129601,129820
2003,9,130253,129929
2003,10,131045,130126
2003,11,131208,130140
2003,12,131026,130259
2004,1,128365,130421
2004,2,128976,130465
2004,3,130019,130802
2004,4,131140,131051
2004,5,132047,131361
2004,6,132495,131442
2004,7,131334,131488
2004,8,131352,131610
2004,9,132067,131771
2004,10,133050,132119
2004,11,133301,132182
2004,12,133075,132316
2005,1,130369,132453
2005,2,131195,132693
2005,3,132038,132834
2005,4,133247,133194
2005,5,134059,133364
2005,6,134728,133607
2005,7,133665,133981
2005,8,133910,134174
2005,9,134533,134240
2005,10,135260,134320
2005,11,135817,134654
2005,12,135615,134814
2006,1,132962,135097
2006,2,133887,135413
2006,3,134868,135696
2006,4,135780,135877
2006,5,136584,135891
2006,6,137084,135967
2006,7,135908,136176
2006,8,136110,136359
2006,9,136776,136516
2006,10,137475,136507
2006,11,137857,136711
2006,12,137746,136882
2007,1,134952,137118
2007,2,135641,137211
2007,3,136533,137401
2007,4,137335,137473
2007,5,138277,137612
2007,6,138779,137687
2007,7,137379,137647
2007,8,137488,137629
2007,9,138046,137702
2007,10,138786,137781
2007,11,139090,137893
2007,12,138875,137982
2008,1,135840,138023
2008,2,136356,137939
2008,3,136944,137844
2008,4,137475,137636
2008,5,138045,137446
2008,6,138237,137248
2008,7,136752,137038
2008,8,136635,136764
2008,9,136685,136332
2008,10,136972,135843
2008,11,136288,135040
2008,12,135253,134379
2009,1,131555,133561
2009,2,131314,132837
2009,3,131175,132038
2009,4,131357,131346
2009,5,131626,130985
2009,6,131442,130503
2009,7,129844,130164
2009,8,129719,129933
2009,9,130077,129734
2009,10,130674,129532
2009,11,130721,129490
2009,12,130178,129319
2010,1,127309,129279
2010,2,127746,129244
2010,3,128584,129433
2010,4,129713,129672
2010,5,130833,130188
2010,6,130959,130021
2010,7,129624,129963
2010,8,129695,129912
2010,9,130191,129885
2010,10,131169,130105
2010,11,131481,130226
2010,12,131185,130346
2011,1,128327,130456
2011,2,129148,130676
2011,3,130061,130922
2011,4,131240,131173
2011,5,131889,131227
2011,6,132340,131311
2011,7,131038,131407
2011,8,131278,131492
2011,9,131975,131694
2011,10,132870,131806
2011,11,133172,131963
2011,12,132965,132186
2012,1,130297,132461
2012,2,131210,132720
2012,3,132081,132863
2012,4,132938,132940
2012,5,133727,133009
